area_type,area,fips,date,status,labor_force,employment,unemployment,unemployment_rate
State,Hawaii,15,2020-11-01,Preliminary,659148,592682,66466,10.1
Region,Balance,NA,2020-11-01,Preliminary,659148,592682,66466,10.1
County,Hawaii County,15001,2020-11-01,Preliminary,90761,81902,8859,9.8
County,Honolulu County,15003,2020-11-01,Preliminary,450466,410835,39631,8.8
County,Kauai County,15007,2020-11-01,Preliminary,35537,30753,4784,13.5
County,Maui County,15009,2020-11-01,Preliminary,82384,69192,13192,16
State,Hawaii,15,2020-10-01,Final,639224,548760,90464,14.2
Region,Balance,NA,2020-10-01,Final,639224,548760,90464,14.2
County,Hawaii County,15001,2020-10-01,Final,87949,76109,11840,13.5
County,Honolulu County,15003,2020-10-01,Final,434382,380715,53667,12.4
County,Kauai County,15007,2020-10-01,Final,34800,28041,6759,19.4
County,Maui County,15009,2020-10-01,Final,82093,63895,18198,22.2
State,Hawaii,15,2020-09-01,Final,610217,517767,92450,15.2
Region,Balance,NA,2020-09-01,Final,610217,517767,92450,15.2
County,Hawaii County,15001,2020-09-01,Final,84128,72799,11329,13.5
County,Honolulu County,15003,2020-09-01,Final,414306,358138,56168,13.6
County,Kauai County,15007,2020-09-01,Final,33230,26528,6702,20.2
County,Maui County,15009,2020-09-01,Final,78553,60302,18251,23.2
State,Hawaii,15,2020-08-01,Final,639152,556936,82216,12.9
Region,Balance,NA,2020-08-01,Final,639150,556935,82215,12.9
County,Hawaii County,15001,2020-08-01,Final,88337,77488,10849,12.3
County,Honolulu County,15003,2020-08-01,Final,433505,385945,47560,11
County,Kauai County,15007,2020-08-01,Final,35042,28618,6424,18.3
County,Maui County,15009,2020-08-01,Final,82266,64884,17382,21.1
State,Hawaii,15,2020-07-01,Final,641266,555007,86259,13.5
Region,Balance,NA,2020-07-01,Final,641266,555007,86259,13.5
County,Hawaii County,15001,2020-07-01,Final,89038,77384,11654,13.1
County,Honolulu County,15003,2020-07-01,Final,434103,384325,49778,11.5
County,Kauai County,15007,2020-07-01,Final,35428,28654,6774,19.1
County,Maui County,15009,2020-07-01,Final,82697,64644,18053,21.8
State,Hawaii,15,2020-06-01,Final,633171,544970,88201,13.9
Region,Balance,NA,2020-06-01,Final,633172,544970,88202,13.9
County,Hawaii County,15001,2020-06-01,Final,88565,76886,11679,13.2
County,Honolulu County,15003,2020-06-01,Final,426792,374926,51866,12.2
County,Kauai County,15007,2020-06-01,Final,35668,28762,6906,19.4
County,Maui County,15009,2020-06-01,Final,82147,64396,17751,21.6
State,Hawaii,15,2020-05-01,Final,624626,478495,146131,23.4
Region,Balance,NA,2020-05-01,Final,624625,478495,146130,23.4
County,Hawaii County,15001,2020-05-01,Final,86557,67227,19330,22.3
County,Honolulu County,15003,2020-05-01,Final,417414,330736,86678,20.8
County,Kauai County,15007,2020-05-01,Final,35883,24596,11287,31.5
County,Maui County,15009,2020-05-01,Final,84771,55936,28835,34
State,Hawaii,15,2020-04-01,Final,634102,484201,149901,23.6
Region,Balance,NA,2020-04-01,Final,634102,484201,149901,23.6
County,Hawaii County,15001,2020-04-01,Final,88821,68093,20728,23.3
County,Honolulu County,15003,2020-04-01,Final,418298,332459,85839,20.5
County,Kauai County,15007,2020-04-01,Final,37937,25408,12529,33
County,Maui County,15009,2020-04-01,Final,89046,58241,30805,34.6
State,Hawaii,15,2020-03-01,Final,667544,652495,15049,2.3
Region,Balance,NA,2020-03-01,Final,667545,652495,15050,2.3
County,Hawaii County,15001,2020-03-01,Final,91563,88915,2648,2.9
County,Honolulu County,15003,2020-03-01,Final,453211,443533,9678,2.1
County,Kauai County,15007,2020-03-01,Final,36504,35649,855,2.3
County,Maui County,15009,2020-03-01,Final,86267,84398,1869,2.2
State,Hawaii,15,2020-02-01,Final,669107,651346,17761,2.7
Region,Balance,NA,2020-02-01,Final,669107,651346,17761,2.7
County,Hawaii County,15001,2020-02-01,Final,91794,88760,3034,3.3
County,Honolulu County,15003,2020-02-01,Final,453659,442261,11398,2.5
County,Kauai County,15007,2020-02-01,Final,36570,35549,1021,2.8
County,Maui County,15009,2020-02-01,Final,87084,84776,2308,2.7
State,Hawaii,15,2020-01-01,Final,673454,654010,19444,2.9
Region,Balance,NA,2020-01-01,Final,673454,654010,19444,2.9
County,Hawaii County,15001,2020-01-01,Final,91811,88567,3244,3.5
County,Honolulu County,15003,2020-01-01,Final,457022,444395,12627,2.8
County,Kauai County,15007,2020-01-01,Final,36927,35833,1094,3
County,Maui County,15009,2020-01-01,Final,87694,85215,2479,2.8
